id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,raw_data,created_at
92,92,1901,Juros e/ou atualização monetária,01/01/2014,"","Juros e/ou atualização monetária devidos pelo atraso no pagamento de valores por exercício de emprego, cargo ou função","","{""NOME"": ""Juros e/ou atualização monetária"", ""DTFIM"": null, ""CODIGO"": 1901, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Juros e/ou atualização monetária devidos pelo atraso no pagamento de valores por exercício de emprego, cargo ou função"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
95,95,2501,Prêmios,01/04/2019,"","Liberalidades concedidas pelo empregador em forma de bens, serviços ou valor em dinheiro a empregado ou a grupo de empregados, em razão de desempenho superior ao ordinariamente esperado no exercício de suas atividades","","{""NOME"": ""Prêmios"", ""DTFIM"": null, ""CODIGO"": 2501, ""DTINICIO"": 1042019, ""DESCRICAO"": ""Liberalidades concedidas pelo empregador em forma de bens, serviços ou valor em dinheiro a empregado ou a grupo de empregados, em razão de desempenho superior ao ordinariamente esperado no exercício de suas atividades"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
97,97,2510,Direitos autorais e intelectuais,01/01/2014,"","Valor correspondente a participação em produção científica, intelectual ou artística","","{""NOME"": ""Direitos autorais e intelectuais"", ""DTFIM"": null, ""CODIGO"": 2510, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a participação em produção científica, intelectual ou artística"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
98,98,2801,Quarentena remunerada,01/01/2014,"","Valor equivalente a remuneração se em exercício estivesse, devida ao trabalhador desligado, em período de quarentena","","{""NOME"": ""Quarentena remunerada"", ""DTFIM"": null, ""CODIGO"": 2801, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor equivalente a remuneração se em exercício estivesse, devida ao trabalhador desligado, em período de quarentena"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
99,99,2901,Empréstimos,01/01/2014,"",Empréstimos ao trabalhador para posterior desconto,"","{""NOME"": ""Empréstimos"", ""DTFIM"": null, ""CODIGO"": 2901, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Empréstimos ao trabalhador para posterior desconto"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
101,101,2903,Vestuário e equipamentos,01/01/2014,"","Valor correspondente a vestuários, equipamentos e outros acessórios quando esses se constituírem em salário utilidade","","{""NOME"": ""Vestuário e equipamentos"", ""DTFIM"": null, ""CODIGO"": 2903, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a vestuários, equipamentos e outros acessórios quando esses se constituírem em salário utilidade"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
103,103,2930,Insuficiência de saldo,01/01/2014,"","Valor lançado em folha de pagamento para cobertura de excesso de descontos em relação a vencimentos, tanto o valor do vencimento no mês em que houver a insuficiência de saldo, como o respectivo desconto no(s) mês(es) posteriores","","{""NOME"": ""Insuficiência de saldo"", ""DTFIM"": null, ""CODIGO"": 2930, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor lançado em folha de pagamento para cobertura de excesso de descontos em relação a vencimentos, tanto o valor do vencimento no mês em que houver a insuficiência de saldo, como o respectivo desconto no(s) mês(es) posteriores"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
104,104,2999,Arredondamentos,01/01/2014,"","Valor lançado em folha de pagamento, não superior a 99 centavos, relativo a arrendamentos","","{""NOME"": ""Arredondamentos"", ""DTFIM"": null, ""CODIGO"": 2999, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor lançado em folha de pagamento, não superior a 99 centavos, relativo a arrendamentos"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
105,105,3501,Remuneração por prestação de serviços,01/01/2014,"","Remuneração (inclusive adiantamentos) a contribuintes individuais, inclusive honorários, em trabalhos de natureza eventual e sem vínculo trabalhista","","{""NOME"": ""Remuneração por prestação de serviços"", ""DTFIM"": null, ""CODIGO"": 3501, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Remuneração (inclusive adiantamentos) a contribuintes individuais, inclusive honorários, em trabalhos de natureza eventual e sem vínculo trabalhista"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
106,106,3505,Retiradas (pró-labore) de diretores empregados,01/01/2014,"",Pró-labore ou retirada (remuneração) a diretores empregados (CLT),"","{""NOME"": ""Retiradas (pró-labore) de diretores empregados"", ""DTFIM"": null, ""CODIGO"": 3505, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Pró-labore ou retirada (remuneração) a diretores empregados (CLT)"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
107,107,3506,Retiradas (pró-labore) de diretores não empregados,01/01/2014,"",Pró-labore ou retirada (remuneração) a diretores não empregados,"","{""NOME"": ""Retiradas (pró-labore) de diretores não empregados"", ""DTFIM"": null, ""CODIGO"": 3506, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Pró-labore ou retirada (remuneração) a diretores não empregados"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
108,108,3508,Retiradas (pró-labore) de proprietários ou sócios,01/01/2014,"",Pró-labore ou retirada (remuneração) a proprietários ou sócios da empresa,"","{""NOME"": ""Retiradas (pró-labore) de proprietários ou sócios"", ""DTFIM"": null, ""CODIGO"": 3508, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Pró-labore ou retirada (remuneração) a proprietários ou sócios da empresa"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
109,109,3509,Honorários a conselheiros,01/01/2014,"",Valor correspondente a honorários pagos a membros de conselho,"","{""NOME"": ""Honorários a conselheiros"", ""DTFIM"": null, ""CODIGO"": 3509, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a honorários pagos a membros de conselho"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
110,110,3510,Gratificação (jeton),01/01/2014,"",Valor correspondente a gratificação (jeton) por comparecimento a sessões ou reuniões,"","{""NOME"": ""Gratificação (jeton)"", ""DTFIM"": null, ""CODIGO"": 3510, ""DTINICIO"": 1012014, ""DESCRICAO"": ""Valor correspondente a gratificação (jeton) por comparecimento a sessões ou reuniões"", ""INCIDENCIAEXCLUSIVAEMPREGADO"": null}",2026-03-28 11:15:29.753318
