id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,raw_data,created_at,col_k,col_l,col_m,col_n,col_o,col_p,col_q,col_r,col_s,col_t,col_u,col_v,col_w,col_x,col_y,col_z,col_aa,col_ab,col_ac,col_ad,col_ae,col_af,col_ag,col_ah,col_ai,col_aj,col_ak,col_al,col_am,col_an,col_ao,col_ap,col_aq,col_ar,col_as,col_at,col_au,col_av,col_aw,col_ax,col_ay,col_az,col_ba,col_bb
239,1,239,PREMIO ASSIDUIDADE,815,1211-Gratificações,OK,-,0,,,,,"{""202501"": ""PREMIO ASSIDUIDADE"", ""__EMPTY"": ""1211-Gratificações"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 815}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,1,240,SALARIO DIA (INTERMITENTE),820,"1000-Salário, vencimento, soldo ou subsídio",OK,-,0,,,,,"{""202501"": ""SALARIO DIA (INTERMITENTE)"", ""__EMPTY"": ""1000-Salário, vencimento, soldo ou subsídio"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 820}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,1,241,FERIAS (INTERMITENTE),823,6006-Férias proporcionais,OK,Rubrica com inconsistência de IRRF e FGTS,0,,,,,"{""202501"": ""FERIAS (INTERMITENTE)"", ""__EMPTY"": ""6006-Férias proporcionais"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""Rubrica com inconsistência de IRRF e FGTS"", ""__EMPTY_3"": 0, ""Competencia"": 823}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,1,242,1/3 FERIAS (INTERMITENTE),824,6006-Férias proporcionais,OK,Rubrica com inconsistência de IRRF e FGTS,0,,,,,"{""202501"": ""1/3 FERIAS (INTERMITENTE)"", ""__EMPTY"": ""6006-Férias proporcionais"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""Rubrica com inconsistência de IRRF e FGTS"", ""__EMPTY_3"": 0, ""Competencia"": 824}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,1,243,13º SALÁRIO (INTERMITENTE),825,5001-13º salário,#N/D,#N/D,#N/D,,,,,"{""202501"": ""13º SALÁRIO (INTERMITENTE)"", ""__EMPTY"": ""5001-13º salário"", ""__EMPTY_1"": ""#N/D"", ""__EMPTY_2"": ""#N/D"", ""__EMPTY_3"": ""#N/D"", ""Competencia"": 825}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,1,244,PROCESSO TRAB,829,9218-Retenções judiciais,OK,-,0,,,,,"{""202501"": ""PROCESSO TRAB"", ""__EMPTY"": ""9218-Retenções judiciais"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 829}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,1,245,SALARIO MATERNIDADE (MES ANTERIOR),831,4050-Salário maternidade,OK,-,0,,,,,"{""202501"": ""SALARIO MATERNIDADE (MES ANTERIOR)"", ""__EMPTY"": ""4050-Salário maternidade"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 831}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,1,246,DIF. VALE ALIMENTACAO,832,1806-,#N/D,#N/D,#N/D,,,,,"{""202501"": ""DIF. VALE ALIMENTACAO"", ""__EMPTY"": ""1806-"", ""__EMPTY_1"": ""#N/D"", ""__EMPTY_2"": ""#N/D"", ""__EMPTY_3"": ""#N/D"", ""Competencia"": 832}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,1,247,HORAS EXTRAS 50%,834,1003-Horas extraordinárias,OK,-,0,,,,,"{""202501"": ""HORAS EXTRAS 50%"", ""__EMPTY"": ""1003-Horas extraordinárias"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 834}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,1,248,HORAS EXTRAS 100%,835,1003-Horas extraordinárias,OK,-,0,,,,,"{""202501"": ""HORAS EXTRAS 100%"", ""__EMPTY"": ""1003-Horas extraordinárias"", ""__EMPTY_1"": ""OK"", ""__EMPTY_2"": ""-"", ""__EMPTY_3"": 0, ""Competencia"": 835}",2026-03-25 15:01:09.753784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
