id,upload_id,row_number,col_a,col_b,col_c,col_d,col_e,col_f,col_g,col_h,col_i,col_j,raw_data,created_at
48,,48,156,DIF. FERIAS,1016 - Férias - Gozadas,0,0,0,Rubrica com inconsistência de IRRF,"0 - Artigo 28, inciso I, da Lei n° 8.212/91",9 - valor do pagamento informar no 1015,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
49,,49,159,D.S.R. S/ADICIONAL,1002 - Descanso semanal remunerado - DSR,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
50,,50,160,D.S.R. S/HORA EXTRA,1002 - Descanso semanal remunerado - DSR,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
51,,51,161,D.S.R. MES ANTERIOR,1002 - Descanso semanal remunerado - DSR,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
52,,52,163,D.S.R. S/FERIADO - HS,1012 - Descanso semanal remunerado - DSR e feriado,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
53,,53,170,D.S.R. S/COMISSAO,1012 - Descanso semanal remunerado - DSR e feriado,11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
54,,54,171,AUX. DOENÇA,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
55,,55,172,ACIDENTE DE TRABALHO (15 DIAS),"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
56,,56,173,ACIDENTE DE TRABALHO (F.G.T.S.),9932 - Auxílio - doença acidentário,0,9,11,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",9 - Artigo 48 da Lei nº 8.541/92,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
57,,57,173,ACIDENTE DE TRABALHO (F.G.T.S.),9932 - Auxílio - doença acidentário,0,9,11,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",79 - Artigo 48 da Lei nº 8.541/92,12 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
58,,58,173,ACIDENTE DE TRABALHO (F.G.T.S.),9932 - Auxílio - doença acidentário,0,9,11,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",http://www.planalto.gov.br/ccivil_03/leis/l7713.htm,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
59,,59,174,AUX. DOENÇA (F.G.T.S.),9989 - Outros valores informativos,0,9,0,-,"0 - Artigo 28, inciso I, da Lei n° 8.212/91",http://www.planalto.gov.br/ccivil_03/leis/l7713.htm,0 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
60,,60,176,SALARIO MES ANTERIOR,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",http://www.planalto.gov.br/ccivil_03/leis/l7713.htm,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
61,,61,177,SALARIO SUBSTITUTO,"1000 - Salário, vencimento, soldo ou subsídio",11,11,11,-,"11 - Artigo 28, inciso I, da Lei n° 8.212/91",11 - Artigos 3º e 7º da Lei nº 7.713/88,11 - Artigo 15 da Lei n° 8.036/90,,2026-03-29 12:58:13.681214
62,,62,185,INDENIZACAO LEI Nº 7.238/84,6102 - Indenização do art. 9º lei nº 7.238/84,11,11,11,"Rubrica com inconsistência de INSS, IRRF e FGTS","0 - Artigo 28, § 9º da Lei n° 8.212/91","74 - Artigo 6º, inciso V da Lei nº 7.713/88 e artigo 28 da Lei nº 8.036/90","0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
63,,63,187,P.L.R.,1300 - PLR - Participação nos lucros e resultados,0,14,0,-,"0 - Artigo 28, § 9º da Lei n° 8.212/91",14 - Artigo 3º da Lei nº 10.101/2000,"0 - Artigo 15, § 6º da Lei n° 8.036/90",,2026-03-29 12:58:13.681214
