codigo,nome,dt_inicio,dt_fim,descricao,versao
1802,Etapas (marítimos),2014-01-01,,Auxílio-alimentação ao trabalhador marítimo,17
1805,Moradia,2014-01-01,,Auxílio-moradia,17
1806,"Alimentação em ticket ou cartão, vinculada ao PAT",2014-01-01,,"Alimentação concedida sob a forma de ticket ou cartão, por empresa vinculada ao Programa de Alimentação do Trabalhador - PAT",17
1807,"Alimentação em ticket ou cartão, não vinculada ao PAT",2014-01-01,,"Alimentação concedida sob a forma de ticket ou cartão, por empresa não vinculada ao PAT",17
1808,"Cesta básica ou refeição, vinculada ao PAT",2014-01-01,,"Alimentação concedida sob a forma de cesta básica ou refeição, por empresa vinculada ao PAT",17
1809,"Cesta básica ou refeição, não vinculada ao PAT",2014-01-01,,"Alimentação concedida sob a forma de cesta básica ou refeição, por empresa não vinculada ao PAT",17
1810,Transporte,2014-01-01,,Auxílio-transporte ou vale-transporte,17
1899,Outros auxílios,2014-01-01,,Valores relativos a outros auxílios não previstos nos demais itens,17
1901,Juros e/ou atualização monetária,2014-01-01,,"Juros e/ou atualização monetária devidos pelo atraso no pagamento de valores por exercício de emprego, cargo ou função",17
2501,Prêmios,2019-04-01,,"Liberalidades concedidas pelo empregador em forma de bens, serviços ou valor em dinheiro a empregado ou a grupo de empregados, em razão de desempenho superior ao ordinariamente esperado no exercício de suas atividades",17
2502,Liberalidades concedidas em mais de duas parcelas anuais,2018-05-01,2019-03-31,"Liberalidades concedidas pelo empregador em forma de bens, serviços ou valor em dinheiro a empregado ou a grupo de empregados, em razão de desempenho superior ao ordinariamente esperado no exercício de suas atividades, em mais de duas parcelas anuais",17
2510,Direitos autorais e intelectuais,2014-01-01,,"Valor correspondente a participação em produção científica, intelectual ou artística",17
2801,Quarentena remunerada,2014-01-01,,"Valor equivalente a remuneração se em exercício estivesse, devida ao trabalhador desligado, em período de quarentena",17
2901,Empréstimos,2014-01-01,,Empréstimos ao trabalhador para posterior desconto,17
2902,Vestuário e equipamentos,2014-01-01,2021-07-31,"Valor correspondente a vestuários, equipamentos e outros acessórios fornecidos ao trabalhador e utilizados no local de trabalho para prestação dos respectivos serviços",17
2903,Vestuário e equipamentos,2014-01-01,,"Valor correspondente a vestuários, equipamentos e outros acessórios quando esses se constituírem em salário utilidade",17
2920,Reembolsos diversos,2014-01-01,2021-07-31,Valor relativo a reembolsos diversos referentes a descontos indevidos efetuados em competências anteriores,17
2930,Insuficiência de saldo,2014-01-01,,"Valor lançado em folha de pagamento para cobertura de excesso de descontos em relação a vencimentos, tanto o valor do vencimento no mês em que houver a insuficiência de saldo, como o respectivo desconto no(s) mês(es) posteriores",17
2999,Arredondamentos,2014-01-01,,"Valor lançado em folha de pagamento, não superior a 99 centavos, relativo a arrendamentos",17
3501,Remuneração por prestação de serviços,2014-01-01,,"Remuneração (inclusive adiantamentos) a contribuintes individuais, inclusive honorários, em trabalhos de natureza eventual e sem vínculo trabalhista",17
3505,Retiradas (pró-labore) de diretores empregados,2014-01-01,,Pró-labore ou retirada (remuneração) a diretores empregados (CLT),17
3506,Retiradas (pró-labore) de diretores não empregados,2014-01-01,,Pró-labore ou retirada (remuneração) a diretores não empregados,17
3508,Retiradas (pró-labore) de proprietários ou sócios,2014-01-01,,Pró-labore ou retirada (remuneração) a proprietários ou sócios da empresa,17
3509,Honorários a conselheiros,2014-01-01,,Valor correspondente a honorários pagos a membros de conselho,17
