Envio_ID;Tipo_Evento;Modo;Início_Validade;Status;Protocolo;Código_Resposta;Descrição_Resposta;Nr_Recibo;Rubricas;Data_Envio
146;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998492779;201;Lote Recebido com Sucesso.;1.1.0000000039808365869;? (?);09/04/2026 15:05
147;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998494100;201;Lote Recebido com Sucesso.;1.1.0000000039808377023;? (?);09/04/2026 15:05
148;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998495594;201;Lote Recebido com Sucesso.;1.1.0000000039808389250;? (?);09/04/2026 15:05
149;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998497098;201;Lote Recebido com Sucesso.;1.1.0000000039808402380;? (?);09/04/2026 15:05
150;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998498690;201;Lote Recebido com Sucesso.;1.1.0000000039808420226;? (?);09/04/2026 15:06
151;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998501187;201;Lote Recebido com Sucesso.;1.1.0000000039808441035;? (?);09/04/2026 15:06
152;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998502593;201;Lote Recebido com Sucesso.;1.1.0000000039808453512;? (?);09/04/2026 15:06
153;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998503934;201;Lote Recebido com Sucesso.;1.1.0000000039808464296;? (?);09/04/2026 15:06
154;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998505229;201;Lote Recebido com Sucesso.;1.1.0000000039808474601;? (?);09/04/2026 15:06
155;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998507682;201;Lote Recebido com Sucesso.;1.1.0000000039808496216;? (?);09/04/2026 15:07
156;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998509212;201;Lote Recebido com Sucesso.;1.1.0000000039808511660;? (?);09/04/2026 15:07
157;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998511067;201;Lote Recebido com Sucesso.;1.1.0000000039808532571;? (?);09/04/2026 15:07
158;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998513027;201;Lote Recebido com Sucesso.;1.1.0000000039808552344;? (?);09/04/2026 15:07
159;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998514149;201;Lote Recebido com Sucesso.;1.1.0000000039808570846;? (?);09/04/2026 15:08
160;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998520714;201;Lote Recebido com Sucesso.;1.1.0000000039808622061;? (?);09/04/2026 15:08
161;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998521943;201;Lote Recebido com Sucesso.;1.1.0000000039808633241;? (?);09/04/2026 15:09
162;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998523083;201;Lote Recebido com Sucesso.;1.1.0000000039808643310;? (?);09/04/2026 15:09
163;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998524313;201;Lote Recebido com Sucesso.;1.1.0000000039808652526;? (?);09/04/2026 15:09
164;S-1010;alteracao;2026-01;erro;1.1.202604.0000000012998525492;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 15:09
165;S-1010;alteracao;2026-01;erro;1.1.202604.0000000012998526592;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 15:09
166;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998527709;201;Lote Recebido com Sucesso.;1.1.0000000039808680815;? (?);09/04/2026 15:09
167;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998528945;201;Lote Recebido com Sucesso.;1.1.0000000039808688748;? (?);09/04/2026 15:10
168;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998530276;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 15:10
169;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998531421;201;Lote Recebido com Sucesso.;1.1.0000000039808706614;? (?);09/04/2026 15:10
170;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998532586;201;Lote Recebido com Sucesso.;1.1.0000000039808716993;? (?);09/04/2026 15:10
171;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998533708;201;Lote Recebido com Sucesso.;1.1.0000000039808726479;? (?);09/04/2026 15:10
172;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998534986;201;Lote Recebido com Sucesso.;1.1.0000000039808735929;? (?);09/04/2026 15:10
173;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998536151;201;Lote Recebido com Sucesso.;1.1.0000000039808745934;? (?);09/04/2026 15:11
174;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998537435;201;Lote Recebido com Sucesso.;1.1.0000000039808759853;? (?);09/04/2026 15:11
175;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998538698;201;Lote Recebido com Sucesso.;1.1.0000000039808769537;? (?);09/04/2026 15:11
176;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998539928;201;Lote Recebido com Sucesso.;1.1.0000000039808778525;? (?);09/04/2026 15:11
177;S-1010;alteracao;2018-02;erro;1.1.202604.0000000012998541097;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 15:11
178;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998550344;201;Lote Recebido com Sucesso.;1.1.0000000039808861778;? (?);09/04/2026 15:13
179;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998551544;201;Lote Recebido com Sucesso.;1.1.0000000039808875020;? (?);09/04/2026 15:13
180;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998552698;201;Lote Recebido com Sucesso.;1.1.0000000039808888781;? (?);09/04/2026 15:13
181;S-1010;alteracao;2026-01;erro;1.1.202604.0000000012998553946;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 15:13
182;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998555130;201;Lote Recebido com Sucesso.;1.1.0000000039808909903;? (?);09/04/2026 15:13
183;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998556356;201;Lote Recebido com Sucesso.;1.1.0000000039808919702;? (?);09/04/2026 15:13
184;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998558429;201;Lote Recebido com Sucesso.;1.1.0000000039808936726;? (?);09/04/2026 15:14
185;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998559546;201;Lote Recebido com Sucesso.;1.1.0000000039808946301;? (?);09/04/2026 15:14
186;S-1010;alteracao;2019-04;erro;1.1.202604.0000000012998560896;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 15:14
187;S-1010;alteracao;2019-04;erro;1.1.202604.0000000012998561989;201;Lote Recebido com Sucesso.;;? (?);09/04/2026 15:14
188;S-1010;alteracao;2018-02;processado;1.1.202604.0000000012998563063;201;Lote Recebido com Sucesso.;1.1.0000000039808977444;? (?);09/04/2026 15:14
